Göstərici,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Orta aylıq nominal əmək haqqı (manat),1835.6,1708.5,1448.6,1182.9,1160.5,1167.6,1038.2,846.8,819.4,789.3,833.1,985.2,919.8,740.7,695.8,828.9,564.3,370.3,292.0,278.4,267.6,214.2,189.0,196.2,0.0,0.0,0.0,0.0
Sərnişin daşınmışdır (min sərnişin),23.7,21.4,17.7,20.4,22.2,15.7,17.1,19.6,8.5,14.7,13.7,17.1,17.3,12.0,10.4,13.7,14.4,17.5,16.9,19.5,13.4,14.0,11.0,12.0,14.0,20.0,43.0,39.0
Sərnişin daşınmışdır (min sərnişin),2912.0,2254.0,1133.0,578.0,2704.0,2399.0,2359.0,1980.0,1818.0,1788.0,1664.0,1599.0,1394.0,1017.0,941.0,1396.0,1526.0,1332.0,1211.0,1094.0,867.0,731.0,701.0,701.0,697.0,833.0,1122.0,1251.0
Sərnişin daşınmışdır (min sərnişin),7185.0,5137.0,2826.0,2124.0,3850.0,2841.0,2490.0,1978.0,1883.0,2517.0,2508.0,2668.0,3451.0,4803.0,6389.0,6394.0,6598.0,5824.0,5492.0,5241.0,4736.0,4442.0,4646.0,4250.0,4050.0,4287.0,3789.0,4580.0
Sərnişin dövriyyəsi (mln sərnişin/km),11.1,10.2,8.4,9.3,9.5,6.8,7.8,9.0,3.4,5.2,4.8,6.4,6.8,4.5,3.7,4.9,5.2,6.4,7.0,7.0,6.0,6.0,5.0,6.0,6.0,8.0,15.0,12.0
Sərnişin dövriyyəsi (mln sərnişin/km),314.0,194.0,104.0,172.0,544.0,466.0,467.0,448.0,495.0,612.0,609.0,591.0,660.0,917.0,1024.0,1049.0,1108.0,964.0,878.0,789.0,654.0,584.0,537.0,493.0,422.0,533.0,489.0,558.0
Sərnişin dövriyyəsi (mln sərnişin/km),5280.0,4797.0,2334.0,984.0,4750.0,5199.0,5601.0,3549.0,3338.0,2918.0,2579.0,2476.0,2106.0,1613.0,1488.0,2002.0,1999.0,1686.0,1588.0,1450.0,1113.0,884.0,827.0,798.0,835.0,1174.0,1442.0,1794.0
Sərnişin vaqonlarının sayı (ədəd),193.0,196.0,226.0,218.0,218.0,211.0,213.0,214.0,669.0,669.0,669.0,669.0,719.0,719.0,725.0,725.0,726.0,726.0,727.0,729.0,766.0,736.0,770.0,775.0,775.0,815.0,870.0,875.0
Yük daşınmışdır (min ton),357.0,407.0,557.0,458.0,183.0,208.0,173.0,160.0,129.0,125.0,126.0,82.0,51.0,40.0,32.0,43.0,52.0,75.0,74.0,75.0,52.0,31.0,31.0,37.0,48.0,64.0,22.0,29.0
Yük daşınmışdır (min ton),9010.8,7519.2,5468.4,5981.9,5968.7,8236.1,8344.5,5807.3,6625.9,9934.1,11509.7,12371.2,12499.1,11714.3,13190.0,11898.0,10173.2,13506.1,13680.0,13208.7,13272.3,11381.1,10247.0,8779.0,7382.0,8178.0,7504.1,5747.8
Yük daşınmışdır (min ton),18276.0,18730.0,15058.0,14631.0,15222.0,13954.0,14558.0,15479.0,17090.0,21795.0,23127.0,23116.0,22203.0,22349.0,20799.0,27432.0,28276.0,30205.0,26522.0,20671.0,20345.0,17464.0,15390.0,15876.0,14163.0,13531.0,11271.0,9573.0
Yük dövriyyəsi (mln ton km),3017.0,2838.0,2802.0,2302.0,947.0,919.0,738.0,683.0,582.0,481.0,443.0,357.0,224.0,139.0,110.0,129.0,204.0,291.0,310.0,315.0,204.0,84.0,76.0,102.0,112.0,153.0,39.0,56.0
Yük dövriyyəsi (mln ton km),4052.3,3437.6,3093.0,3298.5,3350.7,4575.7,4417.9,3002.0,2937.4,4123.7,4632.4,5061.5,5186.6,4859.1,6173.2,6075.4,5988.6,8042.9,7521.0,6770.7,6555.0,6077.0,5744.0,5192.0,4744.0,4447.4,5008.0,3911.0
Yük dövriyyəsi (mln ton km),6740.0,7097.0,5316.0,4861.0,5152.0,4492.0,4633.0,5192.0,6210.0,7371.0,7958.0,8212.0,7845.0,8250.0,7592.0,10021.0,10375.0,11059.0,9628.0,7536.0,7719.0,6980.0,6141.0,5770.0,5052.0,4702.0,3515.0,2778.0
Yük vaqonlarının sayı (ədəd),5485.0,5470.0,5523.0,5699.0,7156.0,7623.0,9499.0,9879.0,18240.0,17860.0,17875.0,17885.0,17971.0,18062.0,18256.0,18856.0,19134.0,19341.0,22251.0,22901.0,23464.0,24348.0,24838.0,25659.0,25659.0,25872.0,25438.0,28335.0
beynəlxalq (min manat),2150753.0,3642010.0,3239742.0,2691622.0,1377538.0,1537867.0,1184862.0,717118.0,530771.0,538838.0,516988.0,391904.0,375674.0,256120.0,175812.0,178936.0,172485.0,107894.0,82288.0,77088.0,71612.0,29391.0,26746.0,29967.0,32273.0,39633.0,8105.0,4676.0
beynəlxalq (min manat),1418998.0,1199505.0,603029.0,330334.0,974231.0,491466.0,426717.0,303503.0,263812.0,262824.0,228495.0,201524.0,161206.0,118573.0,145837.0,175091.0,145737.0,106897.0,91087.0,78104.0,56420.0,40300.0,32959.0,29111.0,27708.0,30520.0,25704.0,25631.0
beynəlxalq (min sərnişin),2185.0,1504.0,594.0,411.0,2080.0,1785.0,1770.0,1432.0,1284.0,1236.0,1157.0,1110.0,969.0,807.0,721.0,912.0,846.0,684.0,645.0,586.0,428.0,327.0,303.0,301.0,313.0,474.0,640.0,695.0
beynəlxalq (min ton),351.0,403.0,555.0,457.0,181.0,206.0,171.0,158.0,127.0,123.0,124.0,80.0,49.0,38.0,31.0,41.0,50.0,66.0,69.0,72.0,50.0,28.0,26.0,34.0,43.0,56.0,13.0,18.0
beynəlxalq (mln sərnişin/km),4709.0,4113.0,1968.0,868.0,4332.0,4783.0,5198.0,3185.0,2986.0,2589.0,2286.0,2201.0,1872.0,1497.0,1361.0,1706.0,1604.0,1312.0,1263.0,1157.0,859.0,652.0,598.0,567.0,612.0,917.0,1097.0,1250.0
beynəlxalq (mln ton km),3013.0,2836.0,2801.0,2301.0,945.0,918.0,737.0,682.0,581.0,480.0,442.0,356.0,223.0,138.0,109.0,128.0,202.0,286.0,307.0,313.0,203.0,82.0,74.0,100.0,110.0,148.0,37.0,54.0
elektrikləşdirilmiş yollar (kilometr),1151.0,1157.0,1157.0,1169.0,1169.0,1169.0,1224.0,1199.0,1233.0,1238.0,1240.0,1240.0,1251.0,1251.0,1251.0,1271.0,1271.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1271.0,1276.0
idxal (min ton),99.7,156.2,141.0,330.8,214.3,240.2,218.2,316.1,200.1,554.9,1595.8,1493.8,1622.4,1149.8,647.5,484.4,276.1,280.0,264.0,536.4,218.2,106.0,413.0,310.0,469.0,736.0,612.6,1021.5
ixrac (min ton),199.2,145.1,180.8,312.8,313.1,319.1,369.0,510.0,319.0,715.1,1114.0,1289.7,1311.1,1128.2,979.0,1259.2,1095.7,1187.0,802.0,678.2,408.0,285.0,379.0,477.0,439.0,1137.0,1460.9,1707.8
kabotaj əlaqə (min manat),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kabotaj əlaqə (min manat),0.0,5861.3,0.0,1221.6,634.4,0.0,580.7,467.4,43.8,0.0,0.0,0.0,0.0,0.0,0.0,195.3,89.7,106.0,205.2,18.0,0.0,0.0,0.0,198.0,627.0,995.4,1087.0,395.8
kabotaj əlaqə (min sərnişin),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kabotaj əlaqə (min ton),0.0,289.5,0.0,49.2,11.2,0.0,32.2,23.8,52.0,0.0,10.1,21.7,0.0,47.4,0.0,44.4,15.4,31.1,73.0,4.4,0.0,0.0,0.0,61.3,204.3,368.8,380.8,151.0
kabotaj əlaqə (mln sərnişin/km),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kabotaj əlaqə (mln ton km),0.0,0.1,0.0,4.0,2.5,0.0,4.2,0.2,3.5,0.0,0.6,4.8,0.0,0.0,0.0,5.0,2.8,4.8,8.0,0.7,0.0,0.0,0.0,10.3,32.0,53.0,57.0,15.5
sərnişin daşınmasına (min manat),326202.0,146352.0,116602.0,125114.0,80050.0,74819.0,115087.0,81850.0,50494.0,55938.0,36614.0,49435.0,39189.0,15798.0,17768.0,17469.0,13554.0,11404.0,10313.0,8862.0,8302.0,7112.0,4482.0,4491.0,4959.0,13442.0,14310.0,912.0
sərnişin daşınmasına (min manat),3328.4,6062.3,3200.4,3053.0,3168.6,3262.8,3039.9,3257.1,2898.9,2375.1,2145.0,2101.0,2012.9,1842.3,2062.4,20856.4,17429.9,18489.0,15045.0,15139.0,11952.2,10139.0,8167.0,5990.0,6692.0,12661.0,11993.6,9690.6
sərnişin daşınmasına (min manat),1447684.0,1381628.0,590263.0,548364.0,999182.0,736692.0,634330.0,373895.0,361667.0,314618.0,297599.0,258879.0,244958.0,252175.0,254247.0,203887.0,181521.0,149689.0,123350.0,97727.0,72578.0,59947.0,46999.0,40370.0,37745.0,13978.0,15650.0,14506.0
sərnişin daşınmasından (min manat),3923.3,6179.3,2995.9,1128.2,2284.4,1615.1,931.9,698.1,812.3,1010.4,1259.0,1512.0,4213.2,1166.5,889.0,940.5,624.8,731.0,684.9,703.6,455.0,515.0,401.0,424.0,381.0,445.6,1073.8,1149.8
sərnişin daşınmasından (min manat),9274.0,4827.0,1837.0,4248.0,16600.0,14674.0,14240.0,13158.0,12130.0,14452.0,15135.0,15768.0,20175.0,20388.0,29447.0,41553.0,26544.0,21901.0,17282.0,14070.0,9751.0,6859.0,6254.0,4285.0,3013.0,4188.0,1602.0,1140.0
sərnişin daşınmasından (min manat),1473613.0,1261872.0,635110.0,343383.0,1018198.0,528459.0,461998.0,336421.0,296907.0,298624.0,262433.0,225628.0,181853.0,132319.0,155437.0,192652.0,153614.0,113440.0,96680.0,83282.0,60794.0,44222.0,37494.0,32925.0,31094.0,40639.0,45501.0,57119.0
tranzit (min manat),173118.0,159381.0,81953.0,74333.0,77989.0,72691.0,78323.0,85499.0,55320.0,49358.0,64263.0,71499.0,62685.0,53290.0,38582.0,41041.0,43521.0,40672.0,44629.0,44490.0,56038.0,42765.0,36984.0,16062.0,10385.0,6100.0,4639.0,5275.0
